,inverse_v,spy_v,inverse_v_with_25bps_slip
2009-12-07,8.60449561071028,2.265678956676468,8.44882105332169
2009-12-08,8.547090704921583,2.2405367172942294,8.39245473058364
2009-12-09,8.56201855381385,2.2489387299840824,8.407112501324416
2009-12-10,8.580116163198017,2.2615912592789726,8.424882684505102
2009-12-11,8.632269012548312,2.2711984989483898,8.476091972244525
2009-12-14,8.74951753005587,2.2867334966811965,8.591219202009809
2009-12-15,8.697571484832755,2.2761047593886223,8.540212976848677
2009-12-16,8.725314931225325,2.279580371356209,8.567454482287008
2009-12-17,8.621024855558462,2.2521889336139926,8.465051247186283
2009-12-18,8.693069621086945,2.264866505121306,8.535792561880083
2009-12-21,8.76875220716587,2.2878820785463487,8.610105880819729
2009-12-22,8.843567615378806,2.2961024388545654,8.68356771107919
2009-12-23,8.922094309055234,2.3006234645566703,8.760673681353067
2009-12-24,8.968984272474417,2.3115146160378814,8.806715300530884
2009-12-28,8.974505700733834,2.3164473882285064,8.812136833812215
2009-12-29,8.963907950834793,2.31319972899021,8.801730820895742
2009-12-30,8.970396161597021,2.312336905491297,8.808101645423559
2009-12-31,8.888446903579853,2.2901430958723914,8.7255466474469
2010-01-04,9.032720795221186,2.3289839227783875,8.867176404049053
2010-01-05,9.084763052924137,2.335148743221982,8.918264873401629
2010-01-06,9.140859010924617,2.3367926879372103,8.973332750115759
2010-01-07,9.201275466023477,2.3466562898729935,9.03264194135659
2010-01-08,9.25367483093821,2.354465962005691,9.08408097314921
2010-01-11,9.255921286900891,2.3577551509546133,9.086286257886396
2010-01-12,9.140472952325096,2.3357667264168107,8.972953766885581
2010-01-13,9.23349539861414,2.355494612188127,9.064271373117533
2010-01-14,9.27100041525079,2.361866225114096,9.101089028184417
2010-01-15,9.087919796134138,2.335356638603415,8.921363762378709
2010-01-19,9.22234699992886,2.3645392551594036,9.053327293254311
2010-01-20,9.14876586746599,2.3404942554736876,8.981094696194173
2010-01-21,8.999613409124766,2.295488891435184,8.834675783311475
2010-01-22,8.818400983337542,2.244317853067311,8.6567844721009
2010-01-25,8.850247321767698,2.2558267150178404,8.68804715663252
2010-01-26,8.803052451345966,2.2463725452552006,8.641717235572955
2010-01-27,8.854952155938198,2.2570585394529794,8.69266576441277
2010-01-28,8.736611917582541,2.231165563888375,8.576494370102427
2010-01-29,8.648296039488567,2.2069150253744723,8.4897970738955
2010-02-01,8.79712088139907,2.241234760934071,8.635894374636084
2010-02-02,8.917732466452074,2.268360425245656,8.754295488241063
2010-02-03,8.865734440277096,2.2570571852466568,8.703250439776832
2010-02-04,8.540996640441756,2.1873908581668338,8.384464171333086
2010-02-05,8.554461404190254,2.191912195070665,8.397682163796667
2010-02-08,8.494779093040133,2.1760887809344496,8.33909366170885
2010-02-09,8.624666729628702,2.203420456022986,8.46660082288947
2010-02-10,8.596504993982254,2.1991039553496368,8.438955212725876
2010-02-11,8.717184283414635,2.222119777346326,8.557422789879197
2010-02-12,8.73147933152936,2.220270973691574,8.571455849929581
2010-02-16,8.911844825857324,2.255206937462611,8.748515751554747
2010-02-17,8.973356960663333,2.2658943631392465,8.808900541772449
2010-02-18,9.038758321065751,2.2792518104099524,8.873103279009705
2010-02-19,9.041085779811139,2.2839789786647424,8.875388081976206
2010-02-22,9.04530593244344,2.2843900948809024,8.879530891068953
2010-02-23,8.911184114730043,2.256646177178574,8.747867149405902
2010-02-24,8.983343832325662,2.2774028087162628,8.81870438213928
2010-02-25,8.997475375737782,2.274319205313261,8.832576934068822
2010-02-26,8.989497539308623,2.2757588493702245,8.824745308964523
2010-03-01,9.15412575263964,2.2993926050209343,8.986356349733304
2010-03-02,9.187204750434447,2.3057642219294476,9.018829102447071
2010-03-03,9.221852493723295,2.3078186578511866,9.052841849957984
2010-03-04,9.261937898715424,2.314825195296423,9.09219260211242
2010-03-05,9.411401473431551,2.3478901583860368,9.238916929481077
2010-03-08,9.437479989396236,2.348301039163754,9.264517499526033
2010-03-09,9.460563045003223,2.3522062637918832,9.28717750758472
2010-03-10,9.536263194258096,2.36268769490334,9.361490285813293
2010-03-11,9.527909579523918,2.3725519160295616,9.353289769364396
